Unnamed: 0,image_name,embedding
55406,144409.png,"[ 0.14948934  0.07304752  0.05811637 -0.2927184   0.21230958  0.41066808
 -0.05984605  0.23821084 -0.00303581  0.16263287  0.04801158  0.08686465
 -0.04693446 -0.1198438   0.05074261  0.15599304 -0.00924364  0.13525134
  0.06249204  0.15093368  0.07441878 -0.05920861  0.25055104 -0.21858914
  0.07424447  0.09667989 -0.10039975  0.07535452  0.17642272 -0.11841482
 -0.13035934  0.09872361]"
77810,174588.png,"[-0.13918181 -0.32949403  0.22968149 -0.1201935   0.08306713  0.05561756
 -0.00294321 -0.09473187  0.04299572 -0.08904442  0.1542031   0.12667632
  0.2803106   0.13100693 -0.01888083 -0.10770787 -0.24047185  0.04711724
  0.1786584   0.11745698  0.01459907  0.26963016  0.2013429   0.1785042
  0.4597065   0.09701809  0.19428696  0.14498883  0.11400721  0.13822483
  0.09194711 -0.12859227]"
162106,89828.png,"[ 0.04520351 -0.06661917 -0.0941226  -0.0664745  -0.0634383   0.07209231
 -0.28025353  0.01500234 -0.03377282 -0.08300442 -0.09405269  0.08801524
 -0.05137979 -0.01019221  0.20081532  0.05188039 -0.13206334  0.20554145
 -0.23935376  0.02727008 -0.23407452  0.05643513  0.18610397 -0.06887947
  0.08456085  0.08817648 -0.09881496 -0.16170801 -0.03729486  0.05149278
 -0.05137852  0.09650234]"
184287,123977.png,"[ 0.42488715 -0.23586293  0.16660431 -0.3162185   0.06912973 -0.05661906
  0.26575187 -0.10452476  0.25022483 -0.07666988  0.01577364 -0.24153197
  0.29471672  0.25389037 -0.23116723  0.43904924 -0.25017732 -0.40880024
  0.12202444  0.1951299   0.13109533  0.1950237  -0.07722082  0.1921375
  0.43607685  0.4832103   0.14616646  0.03524964  0.1986516   0.25201562
 -0.11818828  0.30554304]"
99201,203415.png,"[-0.08744165 -0.07715949 -0.12825093 -0.26378793  0.15643077 -0.13342717
  0.08195298 -0.08489578  0.08301279 -0.1492329   0.14005701  0.0240898
 -0.01842203  0.11607784  0.09188788 -0.06840993 -0.18000676 -0.23707877
 -0.22494328  0.03900068 -0.08338865  0.270182   -0.27494684 -0.10071337
 -0.00862526  0.03265283  0.3033103  -0.05274619 -0.04980504 -0.03699845
 -0.06074924  0.05548188]"
29637,109481.png,"[-0.34882832 -0.1621546   0.02513     0.05439984 -0.00926064  0.00595869
 -0.23851244  0.08545071 -0.04423673  0.0257418   0.10860839 -0.0115823
 -0.05633179  0.1204098   0.06891116 -0.05454626 -0.13091084 -0.00110763
  0.07490934 -0.08809462 -0.05468612 -0.10008944  0.15560578 -0.03607886
 -0.20716189  0.13355426  0.11697091 -0.0956848  -0.02022029  0.0814902
 -0.05563695 -0.09106645]"
115932,27258.png,"[ 0.4661858  -0.54813784  0.2852808  -0.41162533  0.29691482 -0.15339805
  0.3672355  -0.258736    0.33123073 -0.16794237  0.22048397 -0.19481972
  0.08230479  0.58293235 -0.06065669  0.49414235 -0.13387595 -0.36574632
  0.30181137  0.24762395  0.32015172  0.34812674 -0.2659748   0.43978652
  0.09489083  0.26983482  0.28273675  0.19373132  0.19718246  0.16868703
 -0.38932168  0.00887902]"
156993,82866.png,"[-0.24745992  0.08711004  0.02799689 -0.11661313 -0.13413028  0.23080277
 -0.22961672  0.2909181  -0.16577725  0.15732788 -0.2073784   0.13888937
 -0.08227447 -0.19707875  0.36489373 -0.04210943  0.1259754   0.07676077
 -0.01328819 -0.29587236 -0.19917712 -0.30734152  0.19522513 -0.18343852
 -0.14817232 -0.15395267  0.02449737 -0.16525397 -0.1388194  -0.24911697
  0.4014248  -0.2704506 ]"
139894,59530.png,"[ 0.21593356 -0.5717034   0.44197044 -0.5337413   0.13231282  0.06469806
  0.28828716 -0.6346813   0.45726746 -0.30894062  0.25280786 -0.18908107
  0.11258071  0.48257735 -0.02560275  0.51065964 -0.45250222 -0.64741
  0.37948403  0.36870593  0.39841872  0.39855042  0.03944388  0.35688
  0.38627908  0.8182972   0.37561238  0.29425365  0.35336542  0.26517892
 -0.49149728  0.23577455]"
166442,95763.png,"[ 0.2441155   0.10309283 -0.05392624 -0.2452183   0.19318284 -0.12186854
  0.26148707 -0.05534295  0.2005897  -0.03213827  0.28925025 -0.26379657
  0.20445536  0.07398085 -0.19544141  0.4119947  -0.24954446 -0.06478022
  0.06399916  0.16074717  0.03288434  0.15852562 -0.25141615  0.19496989
 -0.04889507  0.35288784 -0.23847093  0.07460389  0.1769267   0.2426557
 -0.20131128  0.27191427]"
143025,63701.png,"[ 0.09885365 -0.21406098  0.18155922 -0.22622144  0.35230875 -0.05130323
  0.07324596  0.09711792  0.0906703  -0.12786733  0.12958333 -0.03833872
  0.180007    0.19569616 -0.01573625  0.20354116 -0.1229478   0.12772843
  0.06917735 -0.00085452  0.05590173  0.16958562 -0.12275895 -0.08771683
 -0.08337104  0.14819819  0.1470808  -0.06752532  0.05818728 -0.04099359
 -0.29651317  0.06648885]"
197315,194313.png,"[ 0.37376082 -0.2967297   0.35459948 -0.5434718   0.24795027 -0.37036487
  0.25592574 -0.40875933  0.4790077  -0.4698248   0.4986965  -0.13103586
  0.30746505  0.6095281  -0.4112359   0.51405126 -0.36580244 -0.478633
  0.26869217  0.2716039   0.23885894  0.56008375 -0.5003426   0.17056145
  0.13269137  0.51903296  0.38110352  0.34330446  0.45834666  0.4392952
 -0.34958327  0.46834135]"
82407,180815.png,"[ 0.05625592 -0.18830244 -0.04902681 -0.2510382  -0.0328119   0.05851173
 -0.04488072  0.08106695  0.07941839 -0.00069756  0.18469302 -0.17932528
  0.07698701  0.07133096  0.00990717  0.17099528 -0.15372108  0.0817333
  0.04218647  0.00968126 -0.25347355  0.13733634  0.25232857  0.07011919
  0.08582184  0.15593727 -0.02088975 -0.10713714 -0.17236504 -0.32996765
  0.02194658  0.18609115]"
