id,resolution,brand_name,description,name_rus,CommercialTypeName4,rating_1_count,rating_2_count,rating_3_count,rating_4_count,rating_5_count,comments_published_count,photos_published_count,videos_published_count,PriceDiscounted,item_time_alive,item_count_fake_returns7,item_count_fake_returns30,item_count_fake_returns90,item_count_sales7,item_count_sales30,item_count_sales90,item_count_returns7,item_count_returns30,item_count_returns90,GmvTotal7,GmvTotal30,GmvTotal90,ExemplarAcceptedCountTotal7,ExemplarAcceptedCountTotal30,ExemplarAcceptedCountTotal90,OrderAcceptedCountTotal7,OrderAcceptedCountTotal30,OrderAcceptedCountTotal90,ExemplarReturnedCountTotal7,ExemplarReturnedCountTotal30,ExemplarReturnedCountTotal90,ExemplarReturnedValueTotal7,ExemplarReturnedValueTotal30,ExemplarReturnedValueTotal90,ItemVarietyCount,ItemAvailableCount,seller_time_alive,ItemID,SellerID
75405,0,,,"Манжета люка для машинок Samsung Diamond DC64-02857A, DC64-01602B, DC64-01602C, GSK006SA, Vp4303, 117SU06, DC64-01602A","Запчасти для стиральной, сушильной машины",,,,,,,,,799.5493705518874,346,0,0,0,0,0,0,0,0,0,1167.6370889642535,1299.606823195788,1437.3213637954227,98.0,365.0,1480.0,93.0,351.0,1437.0,4.0,25.0,74.0,856.2585037508129,1028.3420932553902,1142.494095355832,46.0,46.0,1379.0,37526,666
398550,0,VIXION,"Аккумулятор на планшет Самсунг с емкостью 7900 mAh обеспечит высокую автономность вашему девайсу. li-ion батарея полностью совместима с указанной в характеристике моделью планшета Самсунг. Компактный источник энергии с напряжением 3.8 v прост в эксплуатации, безопасен и долговечен. Для каждой батарейки Vixion отбираются лучшие компоненты, произведенные по оригинальным технологиям. АКБ Vixion имеет качественные платы контроллеров, установленные для корректировки отдаваемого напряжения. Батарею для сотового телефона можно заменить самостоятельно, но мы рекоменд",Аккумулятор для Samsung Tab S 10.5 T805/T800/T801 (EB-BT800FBC) (VIXION),Аккумулятор для мобильного телефона,3.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,763.2177375601597,233,0,0,0,0,0,1,0,0,0,1135.7983003098466,1294.8757001648526,1416.6427519567746,83.0,423.0,1458.0,81.0,415.0,1424.0,6.0,18.0,62.0,858.206278932143,976.6426041361603,1116.230514333966,5.0,5.0,468.0,194797,659
139659,0,iQZiP,Клавиатура для ноутбука Huawei MateBook B3-420 NobelDZ-WFH9A топкейс Space Gray,Клавиатура для ноутбука Huawei MateBook B3-420 NobelDZ-WFH9A топкейс Space Gray,Вентилятор для ноутбука,,,,,,,,,933.1641561747632,126,0,0,0,0,0,0,0,0,0,1260.582818175419,1447.669619855906,1583.606420670696,168.0,980.0,3719.0,159.0,949.0,3548.0,11.0,69.0,218.0,977.79013804772,1193.925416549554,1322.9882651288497,7.0,7.0,769.0,68512,15
281002,0,Pro Cover,"<ul><li>изготавливается из премиального покрытия с микроканалами, которые не образуют пузыри при нанесении.</li><li>клеевой слой не оставляет следов, а также при неудачном нанесении покрытия с первого раза, можно повторить процедуру</li><li>мы принципиально не используем логотипы в дизайне принтов, никаких навязанных брендов на вашем устройстве</li><li>покрытие которое не увеличивает размеры и вес девайса, оставляя габаритный дизайн таким, каким его создали в Apple</li></ul>","Pro Cover/Наклейка на телефон,виниловое покрытие Dark Fog на iPhone 14 Pro",Наклейка для телефона,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,683.6493460536582,405,0,0,0,0,0,0,0,0,0,1066.1846731716842,1240.0720993305702,1358.5073063610062,22.0,129.0,438.0,22.0,123.0,417.0,2.0,7.0,33.0,846.3808876487005,935.920540989289,1088.659276419259,6.0,6.0,884.0,138276,137
426490,0,Samsung,"Представляем серию флагманских карт памяти под названием Pro Ultimate, которая была разработана с учетом растущих размеров файлов и повышенных требований к качеству изображений и видео. За счёт своих продвинутых характеристик они способны удовлетворить потребности широкого круга пользователей — от тех, кто использует зеркальные фотокамеры, до владельцев дронов и экшн-камер.<br/><br/>Представители серии  PRO Ultimate поддерживают скорость чтения и записи до 200 МБ/с и 130 МБ/с соответственно. Этого достаточно для работы с большими файлами — например, видеороликами в ","128GB SDXC карта памяти PRO Ultimate C10, U3, V30, A2 (MB-SY128S/CN)",Карта памяти,,,,,,,,,844.1366915400145,222,0,0,0,1,1,7,0,0,0,1347.2854575150643,1478.4861183928,1593.773069123387,162.0,624.0,1995.0,124.0,458.0,1552.0,1.0,5.0,25.0,860.5651762291993,1021.898171800246,1180.1747801832475,8.0,7.0,860.0,207738,1071
64712,0,,"Шлейф для мобильных устройств - это очень важная деталь телефона, которая позволяет соединять различные его компоненты.<br/><br/>В случае поломки смартфона шлейф является одним из самых важных устройств, ведь именно он связывает между собой основные его компоненты, такие как дисплей, корпус, камеру, клавиатуру, динамик, микрофон, батарею и другие.<br/><br/>Поэтому очень важно всегда иметь под рукой все необходимые комплектующие и запчасти, чтобы в случае необходимости выполнить ремонт телефона.",Шлейф для Xiaomi Mi 9T Pro/9T межплатный,Шлейфы для телефонов,,,,,,,,,592.9366170136004,609,0,0,0,0,0,0,0,0,0,1024.4677638720389,1204.4389554399577,1328.803941728104,55.0,337.0,1204.0,53.0,324.0,1150.0,3.0,14.0,53.0,712.5384570291156,920.136458219094,1038.8038152617512,192.0,192.0,720.0,32358,188
158681,1,,"Термопот Kitfort КТ-2509 служит для моментальной подачи воды заданной температуры без предварительного подогрева и ожидания. Термопот не потребляет электричество в режиме ожидания. Подогрев осуществляется проточно, подача воды начинается примерно в течение пяти секунд после нажатия кнопки ""Подача воды"" - столько времени занимает нагрев до температуры кипения. В отличие от чайников термопот не нагревает лишний объем воды, в результате чего значительно экономится электроэнергия. Экономия по сравнению с обычными чайниками до 50%. У КТ-2509 встроенные режимы выб","Термопот Kitfort KT-2509-2, белый (+подарок)",Термопот,,,,,,,,,855.7676378213828,19,0,0,0,0,0,0,0,0,0,1411.622032774713,1540.178949281909,1627.9156303187467,231.0,808.0,1779.0,223.0,785.0,1725.0,10.0,32.0,85.0,1120.0433475086752,1240.14819058645,1344.720341680683,53.0,53.0,890.0,77974,9
376470,0,,,Шлейф для Samsung I9300 с подложкой навигационной клавиатуры,Шлейфы для телефонов,,,,,,,,,529.4153379314098,193,0,0,0,0,0,0,0,0,0,1196.6536942761218,1326.6956691096227,1437.9301997207526,167.0,704.0,2079.0,162.0,670.0,1995.0,11.0,40.0,146.0,939.6724475970874,1070.4824725917504,1200.7962464515017,491.0,491.0,352.0,184755,66
445010,0,Sunways,,Аккумуляторная батарея SUNWAYS GP 12-33,Источник бесперебойного питания и батареи,,,,,,,,,900.4585827387315,341,0,0,0,0,0,0,0,0,0,1339.168326572085,1450.3453973496717,1588.0705327818025,143.0,419.0,1233.0,71.0,181.0,704.0,2.0,6.0,18.0,1025.820428286407,1136.6569282176306,1230.3846813665325,1.0,1.0,362.0,216393,933
79122,0,,"C00378124 481981729331 Электроклапан 2Wx180, [54шт/уп], зам. 481981729015, 481981729024, 481928128203, 481928128223, DC62-00024M Уточняйте через вопрос, совместимость с моделью если не уверены в выборе w 100 (f092415) w 100 (f092415) w 120 (f092416) w 120 (f092416) Электроклапан воды 2Wx180 Whirlpool C00378124 481981729331 |  481981729015, 481981729024, 481928128203, 481928128223, 481981729331, DC62-00024M | Количество катушек: 2 |  C00378124 | Применимость: , Whirlpool, Indesit, Hotpoint-Ariston | Угол: 180 | Комплектация: 1<br>Коды аналогов: 481981729015, 481981729024, 481928128203, 481928128223, 481981729331, DC62-00024M<br>Количество катушек: 2<br>Оригинальный код: C00378124<br>Применимость: Samsung, Whirlpool, Indesit, Hotpoint-Ariston<br>Угол: 180<br>Комплектация: 1",Электроклапан воды 2Wx180 Whirlpool C00378124 481981729331,Запчасти для холодильников,,,,,,,,,767.4427794464389,7,0,0,0,0,0,0,0,0,0,970.1865763298816,970.1877662532896,970.1734055991716,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,106.0,11.0,39368,110
