feature,importance
brand_name_len,4.894548411691773
category_median_price,3.174398694480325
item_time_alive,3.0084832908506933
svd_0,2.5838041909950684
PriceDiscounted,1.9956510812320123
svd_13,1.8360271210954016
svd_7,1.782520308588267
svd_88,1.7541266752087499
description_len,1.52690728282429
name_rus_len,1.468781052928272
ItemVarietyCount,1.3804641086397647
svd_3,1.2874419638849355
svd_23,1.246193976546118
brand_name_is_null,1.0749107004904392
ItemAvailableCount,1.024604858813251
svd_77,0.9038410068318571
seller_time_alive,0.886978753468553
svd_25,0.8423730012213039
svd_28,0.8244481126830276
ExemplarReturnedValueTotal90,0.6894744494099789
svd_81,0.679686147873109
svd_97,0.6634479703414438
OrderAcceptedCountTotal7,0.6456232042458704
svd_47,0.6454835967334007
svd_56,0.6270541215209472
svd_30,0.6115045664074789
svd_54,0.5726074319045212
clip_96,0.5399538368129547
ExemplarReturnedCountTotal90,0.5251872890452806
svd_64,0.5208562492095992
